"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.320007330E-1,-1.093521118E0,1.127014160E0,9.915863037E0,1.003943669E1
3.343200690E-1,-5.455627441E-1,1.095916748E0,1.023649597E1,1.030943849E1
3.366699220E-1,-7.896423340E-2,9.786682129E-1,1.039682007E1,1.044307878E1
3.389892580E-1,1.316070557E-1,8.542327881E-1,1.048056030E1,1.051613895E1
3.413391120E-1,2.033843994E-1,7.154541016E-1,1.045903015E1,1.048544474E1
3.436889650E-1,1.698913574E-1,5.718841553E-1,1.027717590E1,1.029447712E1
3.460083010E-1,5.264282227E-2,4.618072510E-1,1.011207581E1,1.012275231E1
3.483581540E-1,-3.349304199E-2,3.948211670E-1,9.937393188E0,9.945289786E0
3.506774900E-1,-2.129669189E-1,4.115600586E-1,9.875183105E0,9.886049664E0
3.530273440E-1,-2.560272217E-1,4.331054688E-1,9.808181763E0,9.821077323E0
3.553771970E-1,-2.536315918E-1,4.833526611E-1,9.772293091E0,9.787526298E0
3.576965330E-1,-2.129669189E-1,5.312042236E-1,9.753143311E0,9.769920024E0
3.600463870E-1,-2.536315918E-1,6.053771973E-1,9.714859009E0,9.737006526E0
3.623657230E-1,-1.411743164E-1,6.412811279E-1,9.667007446E0,9.689282979E0
3.647155760E-1,-5.264282227E-2,6.986999512E-1,9.698104858E0,9.723383708E0
3.670654300E-1,-4.067993164E-2,7.657012939E-1,9.753143311E0,9.783238613E0
3.693847660E-1,-8.853149414E-2,8.231353760E-1,9.793823242E0,9.828751873E0
3.717346190E-1,-3.828430176E-2,8.087768555E-1,9.777069092E0,9.810538503E0
3.740539550E-1,3.349304199E-2,7.680969238E-1,9.765106201E0,9.795325099E0
3.764038090E-1,5.024719238E-2,7.010955811E-1,9.753143311E0,9.778438742E0
3.787536620E-1,1.268157959E-1,5.934143066E-1,9.743576050E0,9.762453433E0
3.810729980E-1,2.368927002E-1,4.833526611E-1,9.734008789E0,9.748880708E0
3.834228520E-1,3.302154541E-1,3.995971680E-1,9.729217529E0,9.743017699E0
3.857421880E-1,3.852386475E-1,3.349914551E-1,9.683746338E0,9.697193987E0
3.880920410E-1,3.469543457E-1,3.469543457E-1,9.671783447E0,9.684221687E0
3.904418950E-1,2.679901123E-1,6.340942383E-1,9.604797363E0,9.629435424E0
3.927612310E-1,1.674957275E-1,1.304092407E0,9.734008789E0,9.822404946E0
3.951110840E-1,-5.766754150E-1,2.014755249E0,1.051406860E1,1.072088764E1
3.974304200E-1,-6.149597168E-1,1.703689575E0,1.057627869E1,1.073025650E1
3.997802740E-1,-1.411743164E-1,1.447662354E0,1.010488892E1,1.020903700E1
4.021301270E-1,3.588867188E-2,1.004989624E0,9.662216187E0,9.714407536E0
4.044494630E-1,3.086700439E-1,3.828582764E-1,9.279373169E0,9.292396035E0
4.067993170E-1,7.393798828E-1,-3.732757568E-1,9.150161743E0,9.187571895E0
4.091491700E-1,1.222732544E0,-1.232299805E0,9.140579224E0,9.303968305E0
4.114685060E-1,1.593612671E0,-1.904693604E0,9.176467896E0,9.506577834E0
4.138183600E-1,2.065002441E0,-2.251647949E0,9.245864868E0,9.737564928E0
4.161376950E-1,2.483749390E0,-2.155929565E0,9.219543457E0,9.788617108E0
4.184875490E-1,2.505279541E0,-1.940582275E0,9.394226074E0,9.914321393E0
4.208068850E-1,2.210968018E0,-1.806579590E0,9.585647583E0,1.000183728E1
4.231567380E-1,1.708480835E0,-1.763504028E0,9.757934570E0,1.006211411E1
4.255065920E-1,1.107879639E0,-1.694122314E0,9.896713257E0,1.010160289E1
4.278259280E-1,6.340942383E-1,-1.514663696E0,1.003549194E1,1.016894194E1
4.301757810E-1,4.163513184E-1,-1.249053955E0,1.001875305E1,1.010489470E1
4.324951170E-1,4.091796875E-1,-9.236297607E-1,9.848861694E0,9.900535169E0
4.348449710E-1,5.288085938E-1,-5.694885254E-1,9.597610474E0,9.629022926E0
