"Time (s)","Pressure (hPa)"
2.818540554E1,9.879631348E2
2.822388357E1,9.879725952E2
2.826230520E1,9.879725952E2
2.830179495E1,9.879725952E2
2.833920950E1,9.879725952E2
2.837766165E1,9.879786377E2
2.841611380E1,9.879786377E2
2.845456595E1,9.879786377E2
2.849304861E1,9.879786377E2
2.853147024E1,9.879846802E2
2.856992239E1,9.879846802E2
2.860837454E1,9.879846802E2
2.864682669E1,9.879846802E2
2.868540091E1,9.879846802E2
2.872373099E1,9.879889526E2
2.876218313E1,9.879889526E2
2.880066580E1,9.879889526E2
2.883908743E1,9.879889526E2
2.887753958E1,9.879964600E2
2.891596121E1,9.879964600E2
2.895444388E1,9.879964600E2
2.899292654E1,9.879964600E2
2.903134817E1,9.880076904E2
2.906983084E1,9.880076904E2
2.910883230E1,9.880076904E2
2.914670462E1,9.880076904E2
2.918515677E1,9.880076904E2
2.922360892E1,9.880183105E2
2.926206106E1,9.880183105E2
2.930051321E1,9.880183105E2
2.933896536E1,9.880183105E2
2.937744803E1,9.880258179E2
2.941583914E1,9.880258179E2
2.945432181E1,9.880258179E2
2.949277396E1,9.880258179E2
2.953122610E1,9.880370483E2
2.956967825E1,9.880370483E2
2.960813040E1,9.880370483E2
2.964661307E1,9.880370483E2
2.968503470E1,9.880370483E2
2.972348685E1,9.880499878E2
2.976193899E1,9.880499878E2
2.980039114E1,9.880499878E2
2.983884329E1,9.880499878E2
2.987729544E1,9.880551758E2
2.991593069E1,9.880551758E2
2.995419974E1,9.880551758E2
2.999265188E1,9.880551758E2
3.003174490E1,9.880661621E2
3.006955618E1,9.880661621E2
3.010800833E1,9.880661621E2
3.014642996E1,9.880661621E2
3.018491263E1,9.880661621E2
3.022339529E1,9.880681152E2
3.026181692E1,9.880681152E2
3.030029959E1,9.880681152E2
3.033872122E1,9.880681152E2
3.037717337E1,9.880808105E2
3.041562552E1,9.880808105E2
3.045407767E1,9.880808105E2
3.049256033E1,9.880808105E2
3.053098196E1,9.880983887E2
3.056943411E1,9.880983887E2
3.060788626E1,9.880983887E2
3.064633841E1,9.880983887E2
3.068479056E1,9.881076050E2
3.072376150E1,9.881076050E2
3.076169485E1,9.881076050E2
3.080017752E1,9.881076050E2
3.083859915E1,9.881076050E2
3.087705130E1,9.881116333E2
3.091550345E1,9.881116333E2
3.095395560E1,9.881116333E2
3.099240774E1,9.881116333E2
3.103085989E1,9.881205444E2
3.106934256E1,9.881205444E2
3.110776419E1,9.881205444E2
3.114624686E1,9.881205444E2
3.118466849E1,9.881367188E2
3.122312063E1,9.881367188E2
3.126157278E1,9.881367188E2
3.130002493E1,9.881367188E2
3.133847708E1,9.881367188E2
3.137695975E1,9.881456299E2
3.141538138E1,9.881456299E2
3.145383352E1,9.881456299E2
3.149228567E1,9.881456299E2
3.153073782E1,9.881577148E2
3.156918997E1,9.881577148E2
3.160764212E1,9.881577148E2
3.164612478E1,9.881577148E2
3.168454642E1,9.881721191E2
3.172299856E1,9.881721191E2
3.176145071E1,9.881721191E2
3.179990286E1,9.881721191E2
3.183835501E1,9.881721191E2
3.187680716E1,9.881862793E2
3.191525931E1,9.881862793E2
3.195374197E1,9.881862793E2
3.199216360E1,9.881862793E2
3.203061575E1,9.881931763E2
3.206906790E1,9.881931763E2
3.210752005E1,9.881931763E2
3.214597220E1,9.881931763E2
3.218442435E1,9.882035522E2
3.222290701E1,9.882035522E2
3.226132864E1,9.882035522E2
3.229978079E1,9.882035522E2
3.233823294E1,9.882035522E2
3.237668509E1,9.882161865E2
3.241513724E1,9.882161865E2
3.245358938E1,9.882161865E2
3.249207205E1,9.882161865E2
3.253049368E1,9.882174072E2
3.256894583E1,9.882174072E2
3.260739798E1,9.882174072E2
3.264585013E1,9.882174072E2
3.268430228E1,9.882248535E2
3.272275442E1,9.882248535E2
3.276169485E1,9.882248535E2
3.279968924E1,9.882248535E2
3.283811087E1,9.882248535E2
3.287656302E1,9.882303467E2
3.291501517E1,9.882303467E2
3.295346731E1,9.882303467E2
3.299191946E1,9.882303467E2
3.303037161E1,9.882372437E2
3.306885428E1,9.882372437E2
3.310727591E1,9.882372437E2
3.314572806E1,9.882372437E2
3.318418021E1,9.882438965E2
3.322263235E1,9.882438965E2
3.326108450E1,9.882438965E2
3.329953665E1,9.882438965E2
3.333798880E1,9.882438965E2
